id;Nombre;Region;Estado
5;ANTIOQUIA;Eje Cafetero - Antioquia;Activo
8;ATLÁNTICO;Caribe;Activo
11;BOGOTÁ. D.C;Centro Oriente;Activo
13;BOLÍVAR;Caribe;Activo
15;BOYACÁ;Centro Oriente;Activo
17;CALDAS;Eje Cafetero - Antioquia;Activo
18;CAQUETÁ;Centro Sur;Activo
19;CAUCA;Pacífico;Activo
20;CESAR;Caribe;Activo
23;CÓRDOBA;Caribe;Activo
25;CUNDINAMARCA;Centro Oriente;Activo
27;CHOCÓ;Pacífico;Activo
41;HUILA;Centro Sur;Activo
44;LA GUAJIRA;Caribe;Activo
47;MAGDALENA;Caribe;Activo
50;META;Llano;Activo
52;NARIÑO;Pacífico;Activo
54;NORTE DE SANTANDER;Centro Oriente;Activo
63;QUINDIO;Eje Cafetero - Antioquia;Activo
66;RISARALDA;Eje Cafetero - Antioquia;Activo
68;SANTANDER;Centro Oriente;Activo
70;SUCRE;Caribe;Activo
73;TOLIMA;Centro Sur;Activo
76;VALLE DEL CAUCA;Pacífico;Activo
81;ARAUCA;Llano;Activo
85;CASANARE;Llano;Activo
86;PUTUMAYO;Centro Sur;Activo
88;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;Caribe;Activo
91;AMAZONAS;Centro Sur;Activo
94;GUAINÁ;Llano;Activo
95;GUAVIARE;Llano;Activo
97;VAUPÉS;Llano;Activo
99;VICHADA;Llano;Activo
